S&P 500 COMPOSITE;14.01.2019;-0.6;-0.59;0.94;0.01
S&P 500 COMPOSITE;15.01.2019;1.06;0.0;-0.88;0.01
S&P 500 COMPOSITE;16.01.2019;0.28;0.04;0.92;0.01
S&P 500 COMPOSITE;17.01.2019;0.75;0.11;-0.24;0.01
S&P 500 COMPOSITE;18.01.2019;1.29;-0.36;0.12;0.01
S&P 500 COMPOSITE;22.01.2019;-1.53;-0.4;0.33;0.01
S&P 500 COMPOSITE;23.01.2019;0.15;-0.39;-0.14;0.01
S&P 500 COMPOSITE;24.01.2019;0.23;0.44;0.0;0.01
S&P 500 COMPOSITE;25.01.2019;0.9;0.46;-0.35;0.01
S&P 500 COMPOSITE;28.01.2019;-0.8;-0.16;0.63;0.01
S&P 500 COMPOSITE;29.01.2019;-0.19;-0.01;0.17;0.01
S&P 500 COMPOSITE;30.01.2019;1.51;-0.15;-0.94;0.01
S&P 500 COMPOSITE;31.01.2019;0.92;0.12;-1.08;0.01
S&P 500 COMPOSITE;01.02.2019;0.14;-0.14;0.43;0.01
S&P 500 COMPOSITE;04.02.2019;0.72;0.49;-0.46;0.01
S&P 500 COMPOSITE;05.02.2019;0.43;-0.08;-0.6;0.01
S&P 500 COMPOSITE;06.02.2019;-0.22;-0.02;0.07;0.01
S&P 500 COMPOSITE;07.02.2019;-0.93;-0.14;0.4;0.01
S&P 500 COMPOSITE;08.02.2019;0.09;0.05;-0.68;0.01
S&P 500 COMPOSITE;11.02.2019;0.14;0.66;0.22;0.01
S&P 500 COMPOSITE;12.02.2019;1.36;0.02;-0.17;0.01
S&P 500 COMPOSITE;13.02.2019;0.28;0.07;0.07;0.01
S&P 500 COMPOSITE;14.02.2019;-0.21;0.52;-0.58;0.01
S&P 500 COMPOSITE;15.02.2019;1.13;0.25;0.47;0.01
S&P 500 COMPOSITE;19.02.2019;0.19;0.3;0.3;0.01
S&P 500 COMPOSITE;20.02.2019;0.19;0.21;0.55;0.01
S&P 500 COMPOSITE;21.02.2019;-0.37;-0.07;-0.22;0.01
S&P 500 COMPOSITE;22.02.2019;0.65;0.55;-1.47;0.01
S&P 500 COMPOSITE;25.02.2019;0.15;-0.26;-0.18;0.01
S&P 500 COMPOSITE;26.02.2019;-0.16;-0.63;-0.33;0.01
